"accountId","productId","interactionYearMonth","Actual_Segment","Potential_Segment","AP_9_segment_label","AP_priority_segment","accountUid"
19447,1016,202305,"low","low","low_low","E","0015f00000UjknAAAR"
19473,1016,202305,"low","low","low_low","E","0015f00000Uk3jSAAR"
19531,1016,202305,"low","low","low_low","E","0015f00000UkZPdAAN"
19555,1016,202305,"low","low","low_low","E","0015f00000UkogVAAR"
21217,1016,202305,"low","low","low_low","E","0015f00000TdLgwAAF"
21238,1016,202305,"low","low","low_low","E","0015f00000TdMNfAAN"
21412,1016,202305,"low","low","low_low","E","0015f00000TdTNoAAN"
21902,1016,202305,"low","low","low_low","E","0015f00000Te9Q4AAJ"
21979,1016,202305,"low","low","low_low","E","0015f00000TeNI2AAN"
22045,1016,202305,"low","low","low_low","E","0015f00000TedghAAB"
22611,1016,202305,"low","low","low_low","E","0015f00000UXvtSAAT"
22781,1016,202305,"low","low","low_low","E","0015f00000UYSbgAAH"
22842,1016,202305,"low","low","low_low","E","0015f00000UYdEWAA1"
22861,1016,202305,"low","high","low_high","C","0015f00000UYhehAAD"
22879,1016,202305,"high","medium","high_medium","B","0015f00000UYkwPAAT"
22882,1016,202305,"low","medium","low_medium","D","0015f00000UYlzWAAT"
22979,1016,202305,"low","low","low_low","E","0015f00000UYwCxAAL"
23130,1016,202305,"low","low","low_low","E","0015f00000UZ4yXAAT"
23149,1016,202305,"low","low","low_low","E","0015f00000UZ5nRAAT"
23251,1016,202305,"low","low","low_low","E","0015f00000UZ9wGAAT"
23310,1016,202305,"low","low","low_low","E","0015f00000UZDZZAA5"
23421,1016,202305,"low","low","low_low","E","0015f00000UZHSbAAP"
23454,1016,202305,"low","low","low_low","E","0015f00000UZIgGAAX"
23460,1016,202305,"low","low","low_low","E","0015f00000UZIl8AAH"
23525,1016,202305,"low","low","low_low","E","0015f00000UZKasAAH"
23615,1016,202305,"low","low","low_low","E","0015f00000UZN26AAH"
23618,1016,202305,"low","low","low_low","E","0015f00000UZN76AAH"
23695,1016,202305,"low","low","low_low","E","0015f00000UZP1JAAX"
23817,1016,202305,"low","low","low_low","E","0015f00000UZS16AAH"
23818,1016,202305,"low","low","low_low","E","0015f00000UZS6JAAX"
23831,1016,202305,"low","low","low_low","E","0015f00000UZSSRAA5"
23853,1016,202305,"low","low","low_low","E","0015f00000UZSstAAH"
24027,1016,202305,"low","low","low_low","E","0015f00000UZXJhAAP"
24050,1016,202305,"low","low","low_low","E","0015f00000UZYNwAAP"
24131,1016,202305,"low","low","low_low","E","0015f00000UZbZ8AAL"
24150,1016,202305,"low","low","low_low","E","0015f00000UZcejAAD"
24217,1016,202305,"low","low","low_low","E","0015f00000UZeNBAA1"
24422,1016,202305,"low","low","low_low","E","0015f00000UZlYtAAL"
24507,1016,202305,"low","high","low_high","C","0015f00000UZpCoAAL"
24537,1016,202305,"low","low","low_low","E","0015f00000UZs0iAAD"
24570,1016,202305,"low","medium","low_medium","D","0015f00000UZyBMAA1"
24586,1016,202305,"low","medium","low_medium","D","0015f00000Ua12XAAR"
24638,1016,202305,"high","low","high_low","C","0015f00000Ua8U4AAJ"
